Board,commentsAnalyzed,sentimentScore_mean,sentimentComparative_mean,commentLength_mean,text_ratio_boomer,text_ratio_trump,text_ratio_thank,text_ratio_meme,text_ratio_sjw,text_ratio_kek,text_ratio_/pol/,text_ratio_eddit,posts_ratio_boomer,posts_ratio_trump,posts_ratio_thank,posts_ratio_meme,posts_ratio_sjw,posts_ratio_kek,posts_ratio_/pol/,posts_ratio_eddit,created
trash,30288,-0.009211568938193344,0.004382461494276427,87.85902007395669,0.00001578310110880043,0.000020668346690095803,0.0009883227599082175,0.0001909003657921576,0.000013528372378971798,0.00004734930332640129,0.00004697351520476319,0.0000958259710177169,0.00023111463285789753,0.0003301637612255679,0.01697041732699419,0.003928948758584258,0.0003961965134706815,0.0013866877971473852,0.0008254094030639197,0.001584786053882726,1531239002062
trv,4824,0.27922885572139305,0.0062062145778600435,225.45128524046436,0.0000937864629354979,0.00004137638070683731,0.0006574247156753039,0.00022067403043646565,0.0000027584253804558205,0.0000937864629354979,0.0002252714060705587,0.000027584253804558207,0.0035240464344941957,0.001658374792703151,0.028606965174129355,0.012023217247097845,0.00020729684908789387,0.007048092868988391,0.008913764510779435,0.0010364842454394694,1531239145979
tv,38020,-0.6301946344029458,-0.034196693026514305,98.33755917937927,0.00034824063588419153,0.00030624848547419303,0.00042527082262355185,0.00038622079740151504,0.0001356052245724156,0.00017652751127770079,0.000526907874571319,0.000371777637387885,0.004786954234613361,0.005418200946870068,0.008337716991057339,0.008784850078905839,0.0038663861125723302,0.005602314571278274,0.008074697527617044,0.006864807995791688,1531239297553
u,24941,0.4971332344332625,0.03484557517741578,119.4375526241931,0.0000020141717121668058,0.0000016784764268056714,0.0009164481290358966,0.00015039148784178814,0.000005035429280417014,0.000048340121092003335,0.000053711245657781485,0.00003692648138972477,0.000040094623311013995,0.000040094623311013995,0.02129024497814843,0.003969367707790385,0.00020047311655506996,0.0014033118158854898,0.0010424602060863637,0.0008018924662202798,1531239322668
v,85865,-0.6690618994933908,-0.03457755911196477,112.84912362429395,0.0002260110900236228,0.000044376606716967034,0.00040609755216573323,0.00036863543998373545,0.00008637958098163118,0.00007306659896654107,0.00009907335453090315,0.0002115628924878661,0.0038781808653118267,0.0009549874803470564,0.008944272986665114,0.009701275257671928,0.003132824783089734,0.0027019157980550865,0.0020497292261107553,0.004239212717638153,1531239474136
vg,116942,-0.32086846470900104,-0.014106272513668399,96.73119153084436,0.00011456921753202524,0.00001060826088259493,0.0007452303270022938,0.00042539126139205666,0.000012464706537049042,0.00010793905448040341,0.000022542554375514223,0.00036819505480006567,0.0016760445348976416,0.00018812744779463323,0.014024046108327205,0.009714217304304698,0.00036770364796223767,0.003429050298438542,0.00039335739084332406,0.00619110328196884,1531239625545
vip,3402,0.06584362139917696,0.02140532604851832,55.89535567313345,0.000031553040661351735,0.0001314710027556322,0.0009991796209428048,0.0005258840110225288,0.000031553040661351735,0.0001419886829760828,0.0007888260165337933,0.0008151202170849197,0.00029394473838918284,0.0008818342151675485,0.011169900058788948,0.006172839506172839,0.0005878894767783657,0.0026455026455026454,0.007348618459729571,0.006760728982951205,1531239635629
vp,9934,0.04258103482987719,-0.0027703962579895118,90.78377290114757,0.00009979530873342012,0.00003880928672966338,0.000881525227145211,0.0004080519290433178,0.000003326510291114004,0.00009979530873342012,0.00003880928672966338,0.00006653020582228008,0.0015099657741091202,0.0006039863096436481,0.015502315280853635,0.008053150795248641,0.00010066438494060802,0.0029192671632776324,0.0006039863096436481,0.0010066438494060802,1531239716685
vr,9531,-0.11163571503514846,-0.010174375406691449,167.3415171545483,0.00014671471887202714,0.000025079439123423443,0.0005298031514823202,0.0002808897181823426,0.000007523831737027033,0.00003950011661939192,0.000009404789671283792,0.00005956366791813068,0.0035673066834539923,0.0007344454936522926,0.01710208792361767,0.010911761619976918,0.00041968313922988144,0.0022033364809568774,0.0003147623544224111,0.0018885741265344666,1531239764723
w,10253,0.3709158295133132,0.056732591168296785,34.24773237101336,0,0.000014239253635281454,0.005795376229559552,0.00007973982035757613,0,0.00012815328271753308,0.000014239253635281454,0.0001851102972586589,0,0.00009753242953281966,0.038427777235930945,0.0006827270067297376,0,0.0014629864429922949,0.00009753242953281966,0.0009753242953281966,1531239772710
wg,9828,0.23473748473748474,0.03863324720684086,42.00132275132275,0,0.0000363381776161671,0.0034400141476638186,0.0001453527104646684,0.000014535271046466839,0.00015988798151113522,0.00025436724331316966,0.0001938036139528912,0,0.00030525030525030525,0.02849002849002849,0.0014245014245014246,0.0002035002035002035,0.002136752136752137,0.0018315018315018315,0.001628001628001628,1531239785736
wsg,21866,-0.26685264794658375,-0.011884939807117393,53.37030092380865,0.0004987167897034691,0.0002656395271616417,0.0014181723143629579,0.00043873367066696946,0.00003598987142189984,0.00038817647033620537,0.00023564796764339178,0.0002227944421355704,0.0037501143327540475,0.0023781212841854932,0.014954724229397238,0.004481843958657276,0.0006402634226653251,0.006905698344461721,0.0024238543858044453,0.002240921979328638,1531239830753
wsr,1016,0.3316929133858268,0.03391371507742879,111.37204724409449,0.000053025080863248316,0.00026512540431624157,0.0022535659366880534,0.00024745037736182546,0.000026512540431624158,0.00013256270215812079,0.000044187567386040267,0.00008837513477208053,0.000984251968503937,0.005905511811023622,0.04822834645669291,0.005905511811023622,0.000984251968503937,0.004921259842519685,0.000984251968503937,0.001968503937007874,1531239855770
